C101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40.00      50.00       0.00       0.00    1236.00       0.00   
    1      45.00      68.00      10.00       0.00    1127.00      90.00   
    2      45.00      70.00      30.00       0.00    1125.00      90.00   
    3      42.00      66.00      10.00       0.00    1129.00      90.00   
    4      42.00      68.00      10.00       0.00    1128.00      90.00   
    5      42.00      65.00      10.00       0.00    1130.00      90.00   
    6      40.00      69.00      20.00       0.00    1127.00      90.00   
    7      40.00      66.00      20.00       0.00    1130.00      90.00   
    8      38.00      68.00      20.00       0.00    1129.00      90.00   
    9      38.00      70.00      10.00       0.00    1127.00      90.00   
   10      35.00      66.00      10.00       0.00    1132.00      90.00   
   11      35.00      69.00      10.00       0.00    1129.00      90.00   
   12      25.00      85.00      20.00       0.00    1106.00      90.00   
   13      22.00      75.00      30.00       0.00    1117.00      90.00   
   14      22.00      85.00      10.00       0.00    1107.00      90.00   
   15      20.00      80.00      40.00       0.00    1112.00      90.00   
   16      20.00      85.00      40.00       0.00    1107.00      90.00   
   17      18.00      75.00      20.00       0.00    1119.00      90.00   
   18      15.00      75.00      20.00       0.00    1120.00      90.00   
   19      15.00      80.00      10.00       0.00    1115.00      90.00   
   20      10.00      35.00      20.00       0.00    1170.00      90.00   
   21      10.00      40.00      30.00       0.00    1165.00      90.00   
   22       8.00      40.00      20.00       0.00    1165.00      90.00   
   23       8.00      45.00      20.00       0.00    1160.00      90.00   
   24       5.00      35.00      10.00       0.00    1173.00      90.00   
   25       5.00      45.00      10.00       0.00    1160.00      90.00   
